origin,dest,distance
-122.310133&47.6164493,-122.3095009&47.6164515,0.92414182
-122.30614905344721&47.61725515054857,-122.3061575&47.617266,0.999841564
-122.3058297&47.6171284,-122.3059664&47.6171369,0.999841564
-122.2902089&47.6250006,-122.2901079&47.6250004,0.268941421
-122.2895571&47.6249996,-122.2892349&47.6249969,0.5
-122.2931307&47.6249564,-122.2925635&47.6249587,0.817574476
-122.2937178&47624721,-122.2936684&47.6247664,0.377540669
-122.2962144624761&4762281865920708,-122.2961957&47.6228314,0.97702263
-122.296681&47.6225018,-122.296306&47.6227565,0.993307149
-122.2970699&47.6222777,-122.296681&47.6225018,0.851952802
-122.29509832283087&47.62422592753849,-122.2951917&47.6242843,0.679178699
-122.2950922&47.6242221,-122.29509832283087&47.62422592753849,0.93991335
-122.2948273&47.6188939,-122.29482710804375&47.618901289159346,0.0000354
-122.29485&47.6225088,-122.2948287&47.6236747,0.000000832
-122.2947941&47.6201719,-122.2947787&47.6213443,0.00000226
-122.2947787&47.6213443,-122.2948318&47.6214203,6.83E-08
-122.29482710804375&47.618901289159346,-122.2947941&47.6201719,0.000000238
-122.2931899&47.6213359,-122.2931721&47.6224967,0.999447221
-122.293162&47.6236743,-122.2931292&47.6249041,0.047425873
-122.2931721&47.6224967,-122.293162&47.6236743,0.622459331
-122.2935109&47.6188834,-122.29351057491122&47.61889952440308,0.999796573
-122.2934844&47.6201648,-122.2934632&47.6213354,0.999447221
-122.29351057491122&47.61889952440308,-122.2935094&47.6189578,0.999999496
-122.2937857&47.621341,-122.2937652&47.6225033,0.003172683
-122.2937418&47.623672,-122.2937178&47.624721,0.000123
-122.2937652&47.6225033,-122.2937418&47.623672,0.01798621
-122.2976672&47.6243711,-122.2976683&47.6251691,0.0000961
-122.29727589056849&47.62274707556176,-122.2973683&47.6228168,0.00116951
-122.2972742&47.6227458,-122.29727589056849&47.62274707556176,0.92414182
-122.2970699&47.6222777,-122.2971901&47.6223628,0.817574476
-122.2972731&47.6189103,-122.2972563&47.6201872,0.994779874
-122.2972624&47.6213517,-122.2972528&47.6219562,0.994779874
-122.2972563&47.6201872,-122.2972624&47.6213517,0.99973881
-122.3014628&47.6115779,-122.3014392&47.6129411,0.000013
-122.3014859&47.6100251,-122.3014628&47.6115779,0.002472623
