origin,dest,distance
-122.357391&47.6186299,-122.3574439&47.618661,0.017986209962092
-122.3514811&47.6245678,-122.3514842&47.6249481,0.679178699175393
-122.34629666022659&47.62174910599874,-122.3462945&47.6220586,0.970687769248644
-122.3463375&47.6185721,-122.3463136&47.618667,0.999996273360716
-122.3488678&47.6245538,-122.3488837&47.6246733,0.952574126822433
-122.3475606&47.6232475,-122.347847&47.623253,0.993307149075715
-122.3527877&47.6245675,-122.3527892&47.6254317,0.679178699175393
-122.35285679743477&47.618589242174565,-122.3528548&47.6186777,0.731058578630005
-122.3541097&47.6245672,-122.3541129&47.625047,0.952574126822433
-122.3541138&47.6232704,-122.3541126&47.6236507,0.994779874306441
-122.3567633&47.6197775,-122.3573958&47.6197805,0.904650535100891
-122.3567189&47.6254439,-122.3567255&47.6246788,0.904650535100891
-122.3554548&47.6201188,-122.3554547&47.6201508,0.047425873177567
-122.34759386135885&47.620711515373394,-122.3475924&47.6209383,0.998073265336672
-122.347594&47.62069,-122.34759386135885&47.620711515373394,0.998073265336672
-122.3567311&47.6221085,-122.3565305&47.6221088,0.952574126822433
-122.357391&47.6186299,-122.3572687&47.6186095,0.119202922022118
-122.35724544083999&47.61860731244234,-122.3571443&47.6185978,0.14804719803169
-122.3488608&47.6234173,-122.348877&47.623435,0.222700138825309
-122.3593312&47.6245974,-122.3587865&47.6245939,0.904650535100891
-122.3476152&47.6185759,-122.3476164&47.6186694,0.99999893229713
-122.35672&47.624581,-122.3566057&47.6245805,0.904650535100891
-122.3462431&47.624537,-122.3462444&47.6244185,0.939913349825992
-122.3503333&47.6185922,-122.3502267&47.6186717,0.817574476193644
-122.3475833&47.622067,-122.3469564&47.6220636,0.9999038975845
-122.3487688&47.6197591,-122.3482586&47.6201634,0.999664649869534
-122.3528485&47.6191078,-122.3528455&47.6193459,0.731058578630005
-122.3567633&47.6197775,-122.3567578&47.6192834,0.962673112655871
-122.3567311&47.6221085,-122.3567338&47.6219539,0.952574126822433
-122.3567154&47.6241467,-122.3567155&47.6239886,0.998498817743263
-122.3554309&47.6232711,-122.3554064&47.6243005,0.999447221363076
-122.3462945&47.6220586,-122.34588662018282&47.62205725797475,0.924141819978757
-122.34588662018282&47.62205725797475,-122.345869&47.6220572,0.320821300824607
-122.3449872&47.6220543,-122.3437651&47.6220573,0.851952801968311
-122.3484034&47.6245512,-122.3482279&47.6245088,0.989013057369407
-122.3475587&47.624461,-122.3475585&47.6245672,0.989013057369407
-122.3475587&47.624461,-122.3473616&47.6244422,0.9992903296009
-122.3475585&47.6245672,-122.3480858&47.6245911,0.977022630089974
-122.3462431&47.624537,-122.3468975&47.6245393,0.939913349825992
-122.3462444&47.6244185,-122.3448749&47.6244157,0.939913349825992
-122.34501&47.6209098,-122.3449872&47.6220543,0.622459331201855
-122.34376506009993&47.62453584361524,-122.345628&47.6245397,0.5
-122.3573540508607&47.61860904951141,-122.357391&47.6186299,0.119202922022118
-122.3567419&47.6182663,-122.3570854&47.6184584,0.222700138825309
-122.345628&47.6245397,-122.3462431&47.624537,0.939913349825992
-122.3553998&47.6245772,-122.3553944&47.624775,0.904650535100891
-122.3553998&47.6245772,-122.3545946&47.624571,0.994779874306441
-122.3541097&47.6245672,-122.353416&47.6245673,0.977022630089974
-122.3488678&47.6245538,-122.3484034&47.6245512,0.952574126822433
-122.3527877&47.6245675,-122.3514811&47.6245678,0.817574476193644
-122.3514811&47.6245678,-122.3488678&47.6245538,0.977022630089974
-122.3554064&47.6243005,-122.3553998&47.6245772,0.904650535100891
-122.3475833&47.622067,-122.3475766&47.6224167,0.998830489734944
-122.3475658&47.6229751,-122.3475606&47.6232475,0.994779874306441
-122.3475585&47.6245672,-122.3475584&47.6246423,0.904650535100891
-122.3489176&47.6196469,-122.3487688&47.6197591,0.991422514586288
-122.3492082&47.6194304,-122.3489176&47.6196469,0.924141819978757
-122.3554526&47.6209325,-122.3554445&47.6220258,0.952574126822433
-122.3554448&47.6221059,-122.3554426&47.6222252,0.962673112655871
-122.3567603&47.6200732,-122.3567633&47.6197775,0.962673112655871
-122.3554535&47.6205887,-122.355453&47.6207749,0.952574126822433
-122.3554556&47.6197679,-122.3554551&47.6199723,0.047425873177567
-122.3554545&47.6202229,-122.3554544&47.6202592,0.119202922022118
-122.3554545&47.6195987,-122.3554556&47.6197679,0.119202922022118
-122.3554564&47.6192717,-122.3554545&47.6195987,0.017986209962092
-122.3554548&47.6189522,-122.355455&47.6191151,0.014063627043246
-122.35536968720615&47.618598075998534,-122.3553932&47.6186307,0.14804719803169
-122.3475873&47.6215748,-122.347586&47.6217364,0.998830489734944
-122.3475606&47.6232475,-122.3475602&47.6234994,0.999941708734339
-122.3475766&47.6224167,-122.3475658&47.6229751,0.994779874306441
-122.3468975&47.6245393,-122.3472342&47.6245495,0.904650535100891
-122.3554334&47.6230456,-122.3554309&47.6232711,0.994779874306441
-122.3567338&47.6219539,-122.3567399&47.6214505,0.999569442918675
-122.3462431&47.624537,-122.3462426&47.6246143,0.939913349825992
-122.3564308&47.62458,-122.3560628&47.624579,0.952574126822433
-122.35672&47.624581,-122.3567151&47.6244921,0.939913349825992
-122.34497254446116&47.622739920591016,-122.3449702&47.6228496,0.679178699175393
-122.3449872&47.6220543,-122.34497254446116&47.622739920591016,0.851952801968311
-122.3567559&47.6191124,-122.3567513&47.6186981,0.562176500885798
-122.3475924&47.6209383,-122.3475902&47.6212102,0.982013790037908
